Record file Pathname: c:\Users\PRODUCTION\Desktop\mesure ballant.txt
Start acquisition date: 03-23-2020 17:46:49
Sirrah working mode: PC7V MM1 EC10 DD384 DG505 DM505
Mode diagnostique: 0
Comment:

;Status B1;Date B1;Energie B1;Pulse B1;Theta B1;Phi B1;Theta' B1;Phi' B1;;Status B2;Date B2;Energie B2;Pulse B2;Theta B2;Phi B2;Theta' B2;Phi' B2;;Status B3;Date B3;Energie B3;Pulse B3;Theta B3;Phi B3;Theta' B3;Phi' B3;
;00;349914309;195;3;0.144;-1.376;-0.039;1.450;8c;349914310;0;0;0.000;0.000;0.000;0.000;8c;349914316;0;0;0.000;0.000;0.000;0.000;
;00;349914509;195;3;0.139;-1.231;-0.040;1.251;8c;349914510;0;0;0.000;0.000;0.000;0.000;8c;349914516;0;0;0.000;0.000;0.000;0.000;
;00;349914709;196;3;0.139;-0.800;-0.021;1.093;8c;349914710;0;0;0.000;0.000;0.000;0.000;8c;349914716;0;0;0.000;0.000;0.000;0.000;
;00;349914909;196;3;0.134;-0.534;-0.018;1.315;8c;349914910;0;0;0.000;0.000;0.000;0.000;8c;349914916;0;0;0.000;0.000;0.000;0.000;
;00;349915109;196;3;0.124;-0.532;-0.035;1.318;8c;349915110;0;0;0.000;0.000;0.000;0.000;8c;349915116;0;0;0.000;0.000;0.000;0.000;
;00;349915309;197;3;0.127;-0.140;-0.006;1.243;8c;349915310;0;0;0.000;0.000;0.000;0.000;8c;349915316;0;0;0.000;0.000;0.000;0.000;
;00;349915509;197;3;0.128;0.204;-0.012;1.156;8c;349915510;0;0;0.000;0.000;0.000;0.000;8c;349915516;0;0;0.000;0.000;0.000;0.000;
;00;349915709;197;3;0.112;0.520;-0.078;1.642;8c;349915710;0;0;0.000;0.000;0.000;0.000;8c;349915716;0;0;0.000;0.000;0.000;0.000;
;00;349915909;197;3;0.102;0.847;-0.035;1.595;8c;349915910;0;0;0.000;0.000;0.000;0.000;8c;349915916;0;0;0.000;0.000;0.000;0.000;
;00;349916109;197;3;0.099;1.196;-0.023;1.715;8c;349916110;0;0;0.000;0.000;0.000;0.000;8c;349916116;0;0;0.000;0.000;0.000;0.000;
;00;349916309;197;3;0.083;1.529;-0.050;1.709;8c;349916310;0;0;0.000;0.000;0.000;0.000;8c;349916316;0;0;0.000;0.000;0.000;0.000;
;00;349916509;197;3;0.064;1.905;-0.076;1.748;8c;349916510;0;0;0.000;0.000;0.000;0.000;8c;349916516;0;0;0.000;0.000;0.000;0.000;
;00;349916709;197;3;0.065;2.235;-0.048;1.723;8c;349916710;0;0;0.000;0.000;0.000;0.000;8c;349916716;0;0;0.000;0.000;0.000;0.000;
;00;349916909;197;3;0.066;2.485;-0.031;1.618;8c;349916910;0;0;0.000;0.000;0.000;0.000;8c;349916916;0;0;0.000;0.000;0.000;0.000;
;00;349917109;197;3;0.071;2.468;0.015;0.996;8c;349917111;0;0;0.000;0.000;0.000;0.000;8c;349917116;0;0;0.000;0.000;0.000;0.000;
;00;349917309;197;3;0.064;2.129;0.000;0.017;8c;349917311;0;0;0.000;0.000;0.000;0.000;8c;349917316;0;0;0.000;0.000;0.000;0.000;
;00;349917509;198;3;0.065;1.813;0.001;-1.023;8c;349917511;0;0;0.000;0.000;0.000;0.000;8c;349917516;0;0;0.000;0.000;0.000;0.000;
;00;349917709;197;3;0.085;1.487;0.028;-1.600;8c;349917711;0;0;0.000;0.000;0.000;0.000;8c;349917716;0;0;0.000;0.000;0.000;0.000;
;00;349917909;197;3;0.099;1.146;0.060;-1.537;8c;349917911;0;0;0.000;0.000;0.000;0.000;8c;349917916;0;0;0.000;0.000;0.000;0.000;
;00;349918109;197;3;0.106;0.778;0.073;-1.703;8c;349918111;0;0;0.000;0.000;0.000;0.000;8c;349918116;0;0;0.000;0.000;0.000;0.000;
;00;349918309;197;3;0.112;0.310;0.048;-1.939;8c;349918311;0;0;0.000;0.000;0.000;0.000;8c;349918316;0;0;0.000;0.000;0.000;0.000;
;00;349918509;197;3;0.126;-0.032;0.039;-1.965;8c;349918511;0;0;0.000;0.000;0.000;0.000;8c;349918516;0;0;0.000;0.000;0.000;0.000;
;00;349918709;196;3;0.132;-0.432;0.040;-2.042;8c;349918711;0;0;0.000;0.000;0.000;0.000;8c;349918716;0;0;0.000;0.000;0.000;0.000;
;00;349918909;196;3;0.135;-0.726;0.026;-1.679;8c;349918911;0;0;0.000;0.000;0.000;0.000;8c;349918916;0;0;0.000;0.000;0.000;0.000;
;00;349919109;196;3;0.141;-1.019;0.034;-1.682;8c;349919111;0;0;0.000;0.000;0.000;0.000;8c;349919116;0;0;0.000;0.000;0.000;0.000;
;00;349919309;196;3;0.145;-1.245;0.018;-1.359;8c;349919311;0;0;0.000;0.000;0.000;0.000;8c;349919316;0;0;0.000;0.000;0.000;0.000;
